"Date","Time, GMT+11:00","Temp, °C (LGR S/N: 9832561, SEN S/N: 9818218, LBL: Ambient)","RH, % (LGR S/N: 9832561, SEN S/N: 9818218)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833758, LBL: 5cmBG)","Water Content, m³/m³ (LGR S/N: 9832561, SEN S/N: 9833760, LBL: 10cmBG)","Temp, °C (LGR S/N: 9832561, SEN S/N: -1)","DewPt, °C (LGR S/N: 9832561, SEN S/N: 9818218)"
22/11/16,11:41:29,11.953,92.300,0.1274,0.2407,12.799,10.8
22/11/16,12:41:30,10.663,93.000,0.1267,0.2414,12.268,9.6
22/11/16,13:41:31,10.785,90.400,0.1267,0.2407,12.195,9.3
22/11/16,14:41:32,10.858,95.000,0.1267,0.2407,11.783,10.1
22/11/16,15:41:33,14.649,89.200,0.1281,0.2400,12.823,12.9
22/11/16,16:41:34,14.194,78.800,0.1296,0.2400,13.738,10.6
22/11/16,17:41:35,13.137,82.600,0.1296,0.2400,13.329,10.3
22/11/16,18:41:36,10.785,91.200,0.1281,0.2400,12.534,9.4
22/11/16,19:41:37,9.977,98.900,0.1274,0.2400,11.856,9.8
22/11/16,20:41:38,9.731,100.000,0.1267,0.2392,11.443,9.7
22/11/16,21:41:39,9.632,100.000,0.1252,0.2385,11.151,9.6
22/11/16,22:41:40,9.756,100.000,0.1245,0.2385,11.005,9.8
22/11/16,23:41:41,9.509,100.000,0.1245,0.2385,10.932,9.5
23/11/16,00:41:42,9.386,100.000,0.1223,0.2385,10.810,9.4
23/11/16,01:41:43,9.361,100.000,0.1223,0.2385,10.663,9.4
23/11/16,02:41:44,9.336,100.000,0.1230,0.2385,10.614,9.3
23/11/16,03:41:45,9.089,100.000,0.1230,0.2385,10.516,9.1
23/11/16,04:41:46,8.965,100.000,0.1223,0.2392,10.369,9.0
23/11/16,05:41:47,8.717,100.000,0.1209,0.2392,10.296,8.7
23/11/16,06:41:48,6.788,100.000,0.1949,0.2400,9.780,6.8
23/11/16,07:41:49,6.661,100.000,0.2777,0.2414,9.188,6.7
23/11/16,08:41:50,6.357,100.000,0.2981,0.2530,8.693,6.4
23/11/16,09:41:51,6.331,100.000,0.3082,0.3264,8.270,6.3
23/11/16,10:41:52,8.742,100.000,0.2828,0.3170,9.064,8.8
23/11/16,11:41:53,8.070,100.000,0.2785,0.3104,9.780,8.1
23/11/16,12:41:54,8.195,100.000,0.2828,0.3119,10.100,8.2
23/11/16,13:41:55,11.321,100.000,0.2821,0.3133,10.149,11.3
23/11/16,14:41:56,10.516,99.500,0.2741,0.3097,11.443,10.5
23/11/16,15:41:57,12.703,99.300,0.2698,0.3061,11.832,12.6
23/11/16,16:41:58,7.895,94.800,0.2654,0.3024,12.485,7.1
23/11/16,17:41:59,4.947,94.800,0.2661,0.3010,10.443,4.2
23/11/16,18:42:00,4.999,97.700,0.2661,0.3003,9.139,4.7
23/11/16,19:42:01,4.766,97.200,0.2661,0.2995,8.643,4.4
23/11/16,20:42:02,4.115,96.800,0.2676,0.2995,8.270,3.7
23/11/16,21:42:03,3.696,96.800,0.2661,0.2995,7.970,3.2
23/11/16,22:42:04,3.248,96.600,0.2654,0.2981,7.720,2.8
23/11/16,23:42:05,2.956,96.700,0.2632,0.2981,7.444,2.5
24/11/16,00:42:06,2.557,96.200,0.2618,0.2966,7.242,2.0
24/11/16,01:42:07,1.940,95.300,0.2603,0.2959,7.091,1.3
24/11/16,02:42:08,2.021,95.900,0.2589,0.2944,6.914,1.4
24/11/16,03:42:09,2.316,97.600,0.2581,0.2937,6.788,2.0
24/11/16,04:42:10,2.610,98.100,0.2567,0.2923,6.661,2.3
24/11/16,05:42:11,2.557,98.400,0.2560,0.2915,6.560,2.3
24/11/16,06:42:12,2.823,98.800,0.2552,0.2915,6.458,2.7
24/11/16,07:42:13,3.459,99.300,0.2560,0.2908,6.509,3.4
24/11/16,08:42:14,5.076,99.900,0.2581,0.2901,6.813,5.1
24/11/16,09:42:15,7.870,100.000,0.2792,0.2930,7.970,7.9
24/11/16,10:42:16,13.834,100.000,0.2952,0.3119,11.904,13.9
24/11/16,11:42:17,13.329,87.200,0.2828,0.3090,11.832,11.3
24/11/16,12:42:18,14.697,78.000,0.2763,0.3061,12.799,10.9
24/11/16,13:42:19,17.011,65.000,0.2712,0.3024,14.170,10.4
24/11/16,14:42:20,14.984,63.500,0.2668,0.3003,14.936,8.1
24/11/16,15:42:21,11.467,65.100,0.2639,0.2981,13.882,5.2
