"Date","Time, GMT+11:00","Water Content, m?/m? (SEN S/N: 9833752, LBL: 10cmBG)"
13-01-2013,13:17:55,0.1296
13-01-2013,14:17:56,0.2022
13-01-2013,15:17:57,0.2371
13-01-2013,16:17:58,0.2451
13-01-2013,17:17:59,0.2400
13-01-2013,18:18:00,0.2342
13-01-2013,19:18:01,0.2298
13-01-2013,20:18:02,0.2262
13-01-2013,21:18:03,0.2225
13-01-2013,22:18:04,0.2196
13-01-2013,23:18:05,0.2182
14-01-2013,00:18:06,0.2153
14-01-2013,01:18:07,0.2138
14-01-2013,02:18:08,0.2124
14-01-2013,03:18:09,0.2116
14-01-2013,04:18:10,0.2102
14-01-2013,05:18:11,0.2095
14-01-2013,06:18:12,0.2080
14-01-2013,07:18:13,0.2073
14-01-2013,08:18:14,0.2066
14-01-2013,09:18:15,0.2066
14-01-2013,10:18:16,0.2058
14-01-2013,11:18:17,0.2058
14-01-2013,12:18:18,0.2066
14-01-2013,13:18:19,0.2073
14-01-2013,14:18:20,0.2066
14-01-2013,15:18:21,0.2037
14-01-2013,16:18:22,0.1993
14-01-2013,17:18:23,0.1957
14-01-2013,18:18:24,0.1920
14-01-2013,19:18:25,0.1891
14-01-2013,20:18:26,0.1877
14-01-2013,21:18:27,0.1855
14-01-2013,22:18:28,0.1840
14-01-2013,23:18:29,0.1833
15-01-2013,00:18:30,0.1826
15-01-2013,01:18:31,0.1811
15-01-2013,02:18:32,0.1804
15-01-2013,03:18:33,0.1797
15-01-2013,04:18:34,0.1790
15-01-2013,05:18:35,0.1782
15-01-2013,06:18:36,0.1782
15-01-2013,07:18:37,0.1775
15-01-2013,08:18:38,0.1775
15-01-2013,09:18:39,0.1775
15-01-2013,10:18:40,0.1761
15-01-2013,11:18:41,0.1746
15-01-2013,12:18:42,0.1710
15-01-2013,13:18:43,0.1673
15-01-2013,14:18:44,0.1630
15-01-2013,15:18:45,0.1586
15-01-2013,16:18:46,0.1528
15-01-2013,17:18:47,0.1477
15-01-2013,18:18:48,0.1434
15-01-2013,19:18:49,0.1397
15-01-2013,20:18:50,0.1376
15-01-2013,21:18:51,0.1361
15-01-2013,22:18:52,0.1354
15-01-2013,23:18:53,0.1354
16-01-2013,00:18:54,0.1347
16-01-2013,01:18:55,0.1339
16-01-2013,02:18:56,0.1332
16-01-2013,03:18:57,0.1332
16-01-2013,04:18:58,0.1325
16-01-2013,05:18:59,0.1325
16-01-2013,06:19:00,0.1318
16-01-2013,07:19:01,0.1318
16-01-2013,08:19:02,0.1310
16-01-2013,09:19:03,0.1296
16-01-2013,10:19:04,0.1288
16-01-2013,11:19:05,0.1259
16-01-2013,12:19:06,0.1223
16-01-2013,13:19:07,0.1194
16-01-2013,14:19:08,0.1158
16-01-2013,15:19:09,0.1100
16-01-2013,16:19:10,0.1056
16-01-2013,17:19:11,0.1020
16-01-2013,18:19:12,0.0998
16-01-2013,19:19:13,0.0983
16-01-2013,20:19:14,0.0976
16-01-2013,21:19:15,0.0969
16-01-2013,22:19:16,0.0933
16-01-2013,23:19:17,0.0933
17-01-2013,00:19:18,0.0962
17-01-2013,01:19:19,0.0954
17-01-2013,02:19:20,0.0954
17-01-2013,03:19:21,0.0954
17-01-2013,04:19:22,0.0947
17-01-2013,05:19:23,0.0947
17-01-2013,06:19:24,0.0947
17-01-2013,07:19:25,0.0940
17-01-2013,08:19:26,0.0940
17-01-2013,09:19:27,0.0933
17-01-2013,10:19:28,0.0918
17-01-2013,11:19:29,0.0911
17-01-2013,12:19:30,0.0911
17-01-2013,13:19:31,0.0896
17-01-2013,14:19:32,0.0882
17-01-2013,15:19:33,0.0867
17-01-2013,16:19:34,0.0831
17-01-2013,17:19:35,0.0795
17-01-2013,18:19:36,0.0802
17-01-2013,19:19:37,0.0795
17-01-2013,20:19:38,0.0787
17-01-2013,21:19:39,0.0787
17-01-2013,22:19:40,0.0780
17-01-2013,23:19:41,0.0780
18-01-2013,00:19:42,0.0780
18-01-2013,01:19:43,0.0780
18-01-2013,02:19:44,0.0780
18-01-2013,03:19:45,0.0773
18-01-2013,04:19:46,0.0773
18-01-2013,05:19:47,0.0773
18-01-2013,06:19:48,0.0773
18-01-2013,07:19:49,0.0773
18-01-2013,08:19:50,0.0766
18-01-2013,09:19:51,0.0766
18-01-2013,10:19:52,0.0773
18-01-2013,11:19:53,0.0780
18-01-2013,12:19:54,0.0773
18-01-2013,13:19:55,0.0766
18-01-2013,14:19:56,0.0766
18-01-2013,15:19:57,0.0744
18-01-2013,16:19:58,0.0736
18-01-2013,17:19:59,0.0736
18-01-2013,18:20:00,0.0729
18-01-2013,19:20:01,0.0729
18-01-2013,20:20:02,0.0722
18-01-2013,21:20:03,0.0722
18-01-2013,22:20:04,0.0722
18-01-2013,23:20:05,0.0722
19-01-2013,00:20:06,0.0722
19-01-2013,01:20:07,0.0722
19-01-2013,02:20:08,0.0722
19-01-2013,03:20:09,0.0722
19-01-2013,04:20:10,0.0722
19-01-2013,05:20:11,0.0722
19-01-2013,06:20:12,0.0686
19-01-2013,07:20:13,0.0722
19-01-2013,08:20:14,0.0722
19-01-2013,09:20:15,0.0729
19-01-2013,10:20:16,0.0729
19-01-2013,11:20:17,0.0707
19-01-2013,12:20:18,0.0744
19-01-2013,13:20:19,0.0744
19-01-2013,14:20:20,0.0736
19-01-2013,15:20:21,0.0736
19-01-2013,16:20:22,0.0729
19-01-2013,17:20:23,0.0715
19-01-2013,18:20:24,0.0693
19-01-2013,19:20:25,0.0686
19-01-2013,20:20:26,0.0671
19-01-2013,21:20:27,0.0649
19-01-2013,22:20:28,0.0628
19-01-2013,23:20:29,0.0620
20-01-2013,00:20:30,0.0620
20-01-2013,01:20:31,0.0620
20-01-2013,02:20:32,0.0620
20-01-2013,03:20:33,0.0620
20-01-2013,04:20:34,0.0620
20-01-2013,05:20:35,0.0620
20-01-2013,06:20:36,0.0628
20-01-2013,07:20:37,0.0628
20-01-2013,08:20:38,0.0642
20-01-2013,09:20:39,0.0642
20-01-2013,10:20:40,0.0649
20-01-2013,11:20:41,0.0664
20-01-2013,12:20:42,0.0678
20-01-2013,13:20:43,0.0686
20-01-2013,14:20:44,0.0693
20-01-2013,15:20:45,0.0693
20-01-2013,16:20:46,0.0678
20-01-2013,17:20:47,0.0671
20-01-2013,18:20:48,0.0649
20-01-2013,19:20:49,0.0642
20-01-2013,20:20:50,0.0613
20-01-2013,21:20:51,0.0606
20-01-2013,22:20:52,0.0606
20-01-2013,23:20:53,0.0628
21-01-2013,00:20:54,0.0628
21-01-2013,01:20:55,0.0613
21-01-2013,02:20:56,0.0598
21-01-2013,03:20:57,0.0598
21-01-2013,04:20:58,0.0606
21-01-2013,05:20:59,0.0606
21-01-2013,06:21:00,0.0606
21-01-2013,07:21:01,0.0613
21-01-2013,08:21:02,0.0613
