SITE,REP,DATE,HOUR,TEMP,
PRO1,1,17/11/11,12,20.39,
PRO1,1,17/11/11,13,21.641,
PRO1,1,17/11/11,14,18.011,
PRO1,1,17/11/11,15,19.451,
PRO1,1,17/11/11,16,24.33,
PRO1,1,17/11/11,17,23.455,
PRO1,1,17/11/11,18,20.515,
PRO1,1,17/11/11,19,16.822,
PRO1,1,17/11/11,20,8.294,
PRO1,1,17/11/11,21,7.603,
PRO1,1,17/11/11,22,8.168,
PRO1,1,17/11/11,23,8.482,
PRO1,1,18/11/11,0,6.159,
PRO1,1,18/11/11,1,8.733,
PRO1,1,18/11/11,2,7.792,
PRO1,1,18/11/11,3,8.231,
PRO1,1,18/11/11,4,8.545,
PRO1,1,18/11/11,5,8.419,
PRO1,1,18/11/11,6,8.608,
PRO1,1,18/11/11,7,10.929,
PRO1,1,18/11/11,8,16.947,
PRO1,1,18/11/11,9,21.704,
PRO1,1,18/11/11,10,20.515,
PRO1,1,18/11/11,11,20.14,
PRO1,1,18/11/11,12,21.391,
PRO1,1,18/11/11,13,21.954,
PRO1,1,18/11/11,14,22.329,
PRO1,1,18/11/11,15,23.455,
PRO1,1,18/11/11,16,23.768,
PRO1,1,18/11/11,17,24.455,
PRO1,1,18/11/11,18,18.951,
PRO1,1,18/11/11,19,16.258,
PRO1,1,18/11/11,20,12.999,
PRO1,1,18/11/11,21,13.25,
PRO1,1,18/11/11,22,13.312,
PRO1,1,18/11/11,23,13.187,
PRO1,1,19/11/11,0,13.689,
PRO1,1,19/11/11,1,12.372,
PRO1,1,19/11/11,2,12.247,
PRO1,1,19/11/11,3,12.748,
PRO1,1,19/11/11,4,12.435,
PRO1,1,19/11/11,5,11.243,
PRO1,1,19/11/11,6,12.184,
PRO1,1,19/11/11,7,11.996,
PRO1,1,19/11/11,8,12.372,
PRO1,1,19/11/11,9,11.682,
PRO1,1,19/11/11,10,13.626,
PRO1,1,19/11/11,11,16.571,
PRO1,1,19/11/11,12,18.199,
PRO1,1,19/11/11,13,17.886,
PRO1,1,19/11/11,14,14.942,
PRO1,1,19/11/11,15,15.381,
PRO1,1,19/11/11,16,12.623,
PRO1,1,19/11/11,17,12.058,
PRO1,1,19/11/11,18,11.118,
PRO1,1,19/11/11,19,10.804,
PRO1,1,19/11/11,20,10.553,
PRO1,1,19/11/11,21,9.926,
PRO1,1,19/11/11,22,9.486,
PRO1,1,19/11/11,23,9.424,
PRO1,1,20/11/11,0,9.8,
PRO1,1,20/11/11,1,9.8,
PRO1,1,20/11/11,2,9.926,
